Designator,Mid X,Mid Y,Rotation,Layer
C17,151.74,-91.43,270.0,top
C18,152.74,-91.43,270.0,top
C19,126.915,-114.28,270.0,top
C20,145.965,-114.28,270.0,top
C21,165.015,-114.28,270.0,top
C22,184.065,-114.28,270.0,top
C24,124.915,-109.2,270.0,top
C25,143.965,-109.2,270.0,top
C26,182.065,-109.2,270.0,top
C27,163.015,-109.2,270.0,top
D1,122.415,-114.28,180.0,top
D2,141.465,-114.28,180.0,top
D3,160.515,-114.28,180.0,top
D4,179.565,-114.28,180.0,top
R5,153.79,-87.39,0.0,top
R7,161.07,-87.3,90.0,top
SW1,122.55,-89.12,0.0,top
U1,175.99,-87.7,0.0,bottom
U4,157.95,-89.12,90.0,top
U5,122.415,-109.2,90.0,bottom
U6,141.465,-109.2,90.0,bottom
U7,160.515,-109.2,90.0,bottom
U8,179.565,-109.2,90.0,bottom
