#,Item,Quantity,Price (USD),Source
1,Custom PCB,1,~$22.87,https://jlcpcb.com/
2,Acrylic plates,4,~$18.04,https://www.elecrow.com/
3,GATERON Magnetic Jade Air HE Switches,4,$15.00,https://www.gateron.com/products/gateron-magnetic-jade-air-he-switch-set?VariantsId=11190
4,Keycaps of choice,4,—,—
5,"0.96"" IPS TFT ST7735 display",1,$1.62,https://www.buydisplay.com/0-96-inch-mini-color-tft-lcd-display-module-80x160-ips-tft-st7735
6,EC11 20mm switch rotary encoder,1,~$1.80,—
7,Encoder cap of choice,1,—,—
8,Waveshare RP2350-Zero Mini Development Board Female,1,$5.79,https://www.waveshare.com/rp2350-zero.htm
9,1x9 pin header for microcontroller,2,$2.45,https://tinyurl.com/3yzm8hka
10,DRV5056A4QDBZR (SOT-23-3),4,$3.36,https://www.digikey.com/en/products/detail/texas-instruments/DRV5056A4QDBZR/9692623
11,"Brass standoffs (2M, 13mm)",4,$3.28,https://pl.aliexpress.com/item/1005012002279754.html
12,"Dowel pins (3M, 14mm)",4,$4.11,https://pl.aliexpress.com/item/4000473863693.html
13,"M2 screws, can also add washers",4,—,—
