Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",0402,2,1uF,
"C11, C12, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C3, C4, C5, C6, C7, C8, C9",0402,20,0.1uF,
"C13, C14",0603,2,10uF,
"C15, C16",0402,2,33pF,
C17,0402,1,10uF,
"D1, D2, D3, D4",LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,4,SK6812MINI-E,
J1,USB_C_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Debug Pins,
L1,0402,1,1.2µH,
"R1, R2",0402,2,5.1kΩ,
"R3, R4",0402,2,27Ω,
R5,0402,1,18Ω,
R6,0402,1,1kΩ,
"R7, R8",0402,2,10kΩ,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles,1,RotaryEncoder_Switch_MP,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23-3,1,NCP1117-3.3_SOT223,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U4,"ZIF_connector 8 pin 0,5mm",1,~,
"U5, U6, U7, U8",SOT-23,4,DRV5055A4xDBZxQ1,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
