Designator,Mid X,Mid Y,Rotation,Layer
C17,188.36,-94.02,270.0,top
C18,187.36,-94.02,270.0,top
C19,126.915,-114.28,270.0,top
C20,145.965,-114.28,270.0,top
C21,165.015,-114.28,270.0,top
C22,184.065,-114.28,270.0,top
C24,124.915,-109.2,270.0,top
C25,143.965,-109.2,270.0,top
C26,182.065,-109.2,270.0,top
C27,163.015,-109.2,270.0,top
D1,122.415,-114.28,180.0,top
D2,141.465,-114.28,180.0,top
D3,160.515,-114.28,180.0,top
D4,179.565,-114.28,180.0,top
R5,186.19,-85.13,270.0,top
R7,181.63,-85.63,90.0,top
SW1,122.55,-89.12,0.0,top
U1,175.99,-87.7,0.0,bottom
U4,189.35,-89.139833,90.0,top
U5,122.415,-109.2,90.0,bottom
U6,141.465,-109.2,90.0,bottom
U7,160.515,-109.2,90.0,bottom
U8,179.565,-109.2,90.0,bottom
